舰船,耐久,炮击,雷击,防空,航空,装填,射程,命中,机动,航速,幸运,反潜
泛用型布里,232.14000000000001,23.214,23.214,23.214,23.214,116.07000000000001,0.0,116.07000000000001,116.07000000000001,35.0,100.0,33.814
试作型布里MKII,232.14000000000001,23.214,23.214,23.214,23.214,116.07000000000001,0.0,116.07000000000001,116.07000000000001,35.0,100.0,33.814
特装型布里MKIII,232.14000000000001,23.214,23.214,23.214,23.214,116.07000000000001,0.0,116.07000000000001,116.07000000000001,35.0,100.0,33.814
杜威,1647.3629600000002,74.97274,279.35028,185.08342000000002,0.0,189.05948,0.0,189.7665,204.2461,44.4,72.0,184.3128
卡辛,1735.29738,76.5373,283.66554,168.15204000000003,0.0,190.75018,0.0,200.43964,204.2461,44.4,66.0,181.56210000000002
唐斯,1735.29738,76.5373,283.66554,168.15204000000003,0.0,190.75018,0.0,200.43964,204.2461,44.4,63.0,181.56210000000002
格里德利,1810.48954,73.53432000000001,438.93964,174.23326,0.0,201.44982000000002,0.0,212.50032000000002,205.00294000000002,46.2,72.0,201.77524
克雷文,1775.0887200000002,72.0959,429.62754,171.53344,0.0,197.00842,0.0,212.50032000000002,205.00294000000002,46.2,72.0,192.64016
麦考尔,1724.3719600000002,72.0959,429.62754,171.53344,0.0,197.00842,0.0,212.50032000000002,204.2461,43.8,69.0,192.64016
莫里,1809.7327000000002,76.28502,448.88244000000003,178.62378,0.0,207.70806000000002,0.0,212.50032000000002,248.93040000000002,43.8,69.0,203.08751999999998
弗莱彻,2077.85334,85.92466000000002,283.66554,172.54256,0.0,197.00842,0.0,207.10067999999998,201.47102,43.2,73.0,206.34278000000003
威廉·D·波特,2294.5449,131.54918,443.00262000000004,293.88818,0.0,240.56382000000002,0.0,213.13102,223.9992,42.0,6.0,286.2106
查尔斯·奥斯本,2113.00188,87.48922000000002,291.23606,178.24536,0.0,215.40472,0.0,227.26082,199.52804000000003,42.0,82.0,212.60102
撒切尔,2037.6835800000001,85.92466000000002,283.66554,172.54256,0.0,209.39876,0.0,216.58768,199.52804000000003,42.0,65.0,206.34278000000003
奥利克,1998.14452,83.04782000000002,279.098,171.15501999999998,0.0,204.83122,0.0,216.58768,199.52804000000003,42.0,62.0,203.08751999999998
富特,1998.14452,83.04782000000002,279.098,171.15501999999998,0.0,197.00842,0.0,216.58768,199.52804000000003,42.0,67.0,203.08751999999998
斯彭斯,1998.14452,83.04782000000002,279.098,171.15501999999998,0.0,197.00842,0.0,216.58768,199.52804000000003,42.0,20.0,203.08751999999998
本森,1826.31004,87.86764000000001,320.1306,172.16414,0.0,204.83122,0.0,201.82718000000003,205.00294000000002,45.0,72.0,193.95244
拉菲,1980.7817200000002,101.44412,302.86956000000004,176.42852000000002,0.0,220.35067999999998,0.0,224.68714,205.00294000000002,45.0,18.0,199.95839999999998
西姆斯,1815.6369000000002,81.23098,286.92080000000004,172.16414,0.0,204.57894000000002,0.0,195.16614,200.66330000000002,42.0,45.0,208.15962000000002
哈曼,1815.6369000000002,81.23098,286.92080000000004,172.16414,0.0,204.57894000000002,0.0,195.16614,200.66330000000002,42.0,47.0,208.15962000000002
埃尔德里奇,1720.6121400000002,81.23098,381.98266,183.51886000000002,0.0,231.30259999999998,0.0,212.50032000000002,264.32160000000005,25.2,75.0,226.42978000000002
埃尔德里奇.改,1885.6121400000002,141.23098,381.98266,243.51886000000002,0.0,231.30259999999998,0.0,212.50032000000002,284.32160000000005,25.2,75.0,226.42978000000002
奥马哈,3237.70958,142.24882000000002,207.70806000000002,281.09504,0.0,182.67510000000001,0.0,151.99552,124.00834,35.0,67.0,81.02746
罗利,3237.70958,142.24882000000002,207.70806000000002,281.09504,0.0,182.67510000000001,0.0,151.99552,124.00834,35.0,82.0,81.02746
布鲁克林,3470.40502,164.15266,0.0,307.23676,0.0,181.23668,0.0,158.65655999999998,103.72418,32.5,55.0,99.24673999999999
菲尼克斯,3470.40502,164.15266,0.0,307.23676,0.0,181.23668,0.0,158.65655999999998,103.72418,32.5,88.0,95.99148
海伦娜,3604.6943,171.72317999999999,0.0,316.95166,0.0,186.05650000000003,0.0,175.61232,103.72418,32.5,33.0,109.51708
海伦娜.改,3844.6943,181.72317999999999,0.0,406.95166,0.0,191.05650000000003,0.0,190.61232,103.72418,32.5,33.0,109.51708
亚特兰大,3517.5411,129.60620000000003,157.64214,422.57854000000003,0.0,179.54598000000001,0.0,168.95128000000003,109.02206000000001,32.5,12.0,187.94648
朱诺,3517.5411,129.60620000000003,157.64214,422.57854000000003,0.0,179.54598000000001,0.0,168.95128000000003,109.02206000000001,32.5,18.0,187.94648
朱诺.改,3757.5411,129.60620000000003,207.64214,492.57854000000003,0.0,184.54598000000001,0.0,168.95128000000003,109.02206000000001,32.5,18.0,217.94648
圣地亚哥,3756.0389800000003,137.55514000000002,168.59405999999998,449.14956,0.0,190.75018,0.0,168.95128000000003,109.02206000000001,32.5,85.0,201.77524
